"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","Class"
"1",37,"admin.","single","university.degree","no","no","yes","cellular","aug","mon",220,2,999,0,"nonexistent","1.4","93.444","-36.1","4.965","5228.1","no"
"2",34,"admin.","married","high.school","no","no","no","cellular","jul","fri",59,7,999,0,"nonexistent","-2.9","92.469","-33.6","1.059","5076.2","no"
"3",31,"admin.","married","university.degree","no","no","no","cellular","nov","wed",596,2,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"4",41,"technician","married","professional.course","no","yes","no","cellular","oct","tue",304,2,999,0,"nonexistent","-3.4","92.431","-26.9","0.744","5017.5","no"
"5",36,"services","single","high.school","no","no","no","cellular","jul","mon",719,2,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"6",40,"management","single","university.degree","no","yes","no","cellular","may","fri",52,1,999,0,"nonexistent","-1.8","92.893","-46.2","1.313","5099.1","no"
"7",28,"technician","single","professional.course","no","yes","no","telephone","may","wed",229,2,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"8",32,"technician","divorced","professional.course","no","yes","yes","cellular","aug","wed",11,12,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"9",28,"unemployed","single","high.school","no","no","no","telephone","may","fri",109,1,999,0,"nonexistent","1.1","93.994","-36.4","4.859","5191","no"
"10",33,"technician","single","professional.course","no","yes","no","cellular","jul","tue",312,1,999,0,"nonexistent","1.4","93.918","-42.7","4.961","5228.1","no"
"11",56,"services","married","high.school","no","no","no","cellular","nov","mon",156,1,999,0,"nonexistent","-0.1","93.2","-42","4.191","5195.8","no"
"12",52,"management","married","university.degree","no","no","no","telephone","may","mon",185,1,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"13",35,"management","married","university.degree","no","no","no","telephone","nov","mon",986,1,7,3,"failure","-3.4","92.649","-30.1","0.714","5017.5","no"
"14",35,"unemployed","married","university.degree","no","yes","no","cellular","oct","thu",391,2,999,0,"nonexistent","-3.4","92.431","-26.9","0.733","5017.5","no"
"15",30,"services","single","university.degree","no","yes","no","telephone","sep","mon",8,1,999,0,"nonexistent","-1.1","94.199","-37.5","0.882","4963.6","no"
"16",49,"admin.","single","high.school","no","yes","no","cellular","jul","thu",24,13,999,0,"nonexistent","1.4","93.918","-42.7","4.968","5228.1","no"
"17",35,"services","single","high.school","no","yes","no","telephone","may","fri",473,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.313","5099.1","no"
"18",42,"technician","divorced","professional.course","no","yes","no","cellular","aug","tue",94,1,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"19",31,"self-employed","divorced","university.degree","no","yes","no","cellular","jul","thu",275,3,999,0,"nonexistent","1.4","93.918","-42.7","4.958","5228.1","no"
"20",47,"admin.","single","university.degree","no","no","no","cellular","nov","tue",193,1,999,0,"nonexistent","-3.4","92.649","-30.1","0.72","5017.5","no"
"21",54,"services","married","basic.4y","no","yes","yes","cellular","aug","wed",900,1,999,0,"nonexistent","1.4","93.444","-36.1","4.965","5228.1","no"
"22",36,"management","married","university.degree","no","yes","no","telephone","may","wed",578,2,999,0,"nonexistent","1.1","93.994","-36.4","4.858","5191","no"
"23",51,"technician","married","high.school","no","yes","no","cellular","aug","wed",360,4,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"24",28,"technician","single","university.degree","no","yes","no","cellular","apr","fri",73,1,999,1,"failure","-1.8","93.075","-47.1","1.405","5099.1","no"
"25",43,"admin.","married","professional.course","no","no","yes","telephone","may","tue",221,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"26",45,"entrepreneur","married","university.degree","no","no","no","cellular","aug","thu",254,2,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"27",48,"technician","divorced","professional.course","no","no","no","cellular","aug","tue",139,1,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"28",65,"housemaid","married","basic.4y","no","no","no","cellular","jun","mon",89,2,999,0,"nonexistent","-2.9","92.963","-40.8","1.266","5076.2","no"
"29",25,"blue-collar","single","basic.9y","no","yes","no","cellular","may","mon",165,1,999,0,"nonexistent","-1.8","92.893","-46.2","1.244","5099.1","no"
"30",61,"blue-collar","married","basic.4y","no","no","yes","cellular","may","wed",74,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.27","5099.1","no"
"31",65,"retired","married","basic.4y","no","yes","no","telephone","oct","thu",138,4,999,0,"nonexistent","-1.1","94.601","-49.5","0.965","4963.6","no"
"32",37,"entrepreneur","married","basic.6y","no","yes","no","cellular","jul","mon",254,1,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"33",43,"admin.","married","high.school","no","no","no","cellular","jul","mon",155,2,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"34",46,"management","married","university.degree","no","no","no","cellular","apr","thu",249,1,999,0,"nonexistent","-1.8","93.075","-47.1","1.483","5099.1","no"
"35",57,"housemaid","married","basic.4y","no","yes","no","cellular","nov","fri",105,1,999,0,"nonexistent","-0.1","93.2","-42","4.021","5195.8","no"
"36",53,"blue-collar","divorced","basic.6y","no","yes","no","telephone","nov","wed",95,3,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"37",33,"admin.","single","university.degree","no","no","yes","cellular","may","thu",49,2,999,1,"failure","-1.8","92.893","-46.2","1.327","5099.1","no"
"38",26,"blue-collar","single","basic.9y","no","yes","no","telephone","may","tue",145,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"39",38,"services","married","basic.9y","no","no","no","telephone","may","wed",166,1,999,0,"nonexistent","1.1","93.994","-36.4","4.858","5191","no"
"40",23,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",633,1,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"41",37,"entrepreneur","divorced","university.degree","no","no","yes","cellular","jul","wed",362,1,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"42",34,"admin.","single","university.degree","no","no","no","cellular","may","fri",134,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.313","5099.1","no"
"43",51,"entrepreneur","single","basic.9y","no","no","yes","cellular","may","wed",89,1,999,1,"failure","-1.8","92.893","-46.2","1.334","5099.1","no"
"44",41,"technician","married","professional.course","no","yes","no","cellular","aug","wed",89,4,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"45",38,"technician","married","professional.course","no","yes","no","cellular","aug","fri",119,3,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"46",34,"technician","married","university.degree","no","yes","no","cellular","aug","thu",99,4,999,0,"nonexistent","1.4","93.444","-36.1","4.962","5228.1","no"
"47",31,"services","single","high.school","no","yes","yes","telephone","jun","wed",216,1,999,0,"nonexistent","1.4","94.465","-41.8","4.864","5228.1","no"
"48",39,"self-employed","married","university.degree","no","no","no","cellular","nov","mon",85,1,999,1,"failure","-0.1","93.2","-42","4.191","5195.8","no"
"49",34,"blue-collar","married","professional.course","no","yes","no","cellular","apr","fri",377,1,999,0,"nonexistent","-1.8","93.075","-47.1","1.405","5099.1","no"
